chunk_id,chunk_text,head,head_type,relation,relation_url,tail,tail_type,confidence,jsonld
0,第一集：桃园三结义东汉末年，汉桓帝年幼，外戚专权，宦官干政。桓帝死后，灵帝继位，权力落在十常侍手中。他们卖官害民、横征暴敛，官逼民反，终于在东汉灵帝光和七年（公元184年）正月，爆发了席卷中原的黄巾起义。汉灵帝命地主豪强领兵镇压，各州募兵守备。招兵告示张贴在涿县城门口。围观群众中，有一位红脸大汉，他叫关羽，是河东解县人，因在家乡杀了豪强，流落到涿县，以卖绿豆为生。人群中还有一人看了榜文，叹了一口气。一个黑脸大汉见了，向叹气的人说道：“大丈夫不为国家出力，反在此长叹，何为大丈夫？”那个叹气的青年名叫刘备，本是汉室宗亲，幼年丧父，跟母亲流落涿县，靠编席贩屦糊口。,东汉末,Text,对手,,关羽,历史人物,0.8685,{}
0,第一集：桃园三结义东汉末年，汉桓帝年幼，外戚专权，宦官干政。桓帝死后，灵帝继位，权力落在十常侍手中。他们卖官害民、横征暴敛，官逼民反，终于在东汉灵帝光和七年（公元184年）正月，爆发了席卷中原的黄巾起义。汉灵帝命地主豪强领兵镇压，各州募兵守备。招兵告示张贴在涿县城门口。围观群众中，有一位红脸大汉，他叫关羽，是河东解县人，因在家乡杀了豪强，流落到涿县，以卖绿豆为生。人群中还有一人看了榜文，叹了一口气。一个黑脸大汉见了，向叹气的人说道：“大丈夫不为国家出力，反在此长叹，何为大丈夫？”那个叹气的青年名叫刘备，本是汉室宗亲，幼年丧父，跟母亲流落涿县，靠编席贩屦糊口。,东汉末,Text,对手,,河东,地点,0.8600,{}
0,第一集：桃园三结义东汉末年，汉桓帝年幼，外戚专权，宦官干政。桓帝死后，灵帝继位，权力落在十常侍手中。他们卖官害民、横征暴敛，官逼民反，终于在东汉灵帝光和七年（公元184年）正月，爆发了席卷中原的黄巾起义。汉灵帝命地主豪强领兵镇压，各州募兵守备。招兵告示张贴在涿县城门口。围观群众中，有一位红脸大汉，他叫关羽，是河东解县人，因在家乡杀了豪强，流落到涿县，以卖绿豆为生。人群中还有一人看了榜文，叹了一口气。一个黑脸大汉见了，向叹气的人说道：“大丈夫不为国家出力，反在此长叹，何为大丈夫？”那个叹气的青年名叫刘备，本是汉室宗亲，幼年丧父，跟母亲流落涿县，靠编席贩屦糊口。,东汉末,Text,对手,,刘备,历史人物,0.8703,{}
0,第一集：桃园三结义东汉末年，汉桓帝年幼，外戚专权，宦官干政。桓帝死后，灵帝继位，权力落在十常侍手中。他们卖官害民、横征暴敛，官逼民反，终于在东汉灵帝光和七年（公元184年）正月，爆发了席卷中原的黄巾起义。汉灵帝命地主豪强领兵镇压，各州募兵守备。招兵告示张贴在涿县城门口。围观群众中，有一位红脸大汉，他叫关羽，是河东解县人，因在家乡杀了豪强，流落到涿县，以卖绿豆为生。人群中还有一人看了榜文，叹了一口气。一个黑脸大汉见了，向叹气的人说道：“大丈夫不为国家出力，反在此长叹，何为大丈夫？”那个叹气的青年名叫刘备，本是汉室宗亲，幼年丧父，跟母亲流落涿县，靠编席贩屦糊口。,关羽,历史人物,对手,,河东,地点,0.6417,{}
0,第一集：桃园三结义东汉末年，汉桓帝年幼，外戚专权，宦官干政。桓帝死后，灵帝继位，权力落在十常侍手中。他们卖官害民、横征暴敛，官逼民反，终于在东汉灵帝光和七年（公元184年）正月，爆发了席卷中原的黄巾起义。汉灵帝命地主豪强领兵镇压，各州募兵守备。招兵告示张贴在涿县城门口。围观群众中，有一位红脸大汉，他叫关羽，是河东解县人，因在家乡杀了豪强，流落到涿县，以卖绿豆为生。人群中还有一人看了榜文，叹了一口气。一个黑脸大汉见了，向叹气的人说道：“大丈夫不为国家出力，反在此长叹，何为大丈夫？”那个叹气的青年名叫刘备，本是汉室宗亲，幼年丧父，跟母亲流落涿县，靠编席贩屦糊口。,关羽,历史人物,对手,,刘备,历史人物,0.6576,{}
0,第一集：桃园三结义东汉末年，汉桓帝年幼，外戚专权，宦官干政。桓帝死后，灵帝继位，权力落在十常侍手中。他们卖官害民、横征暴敛，官逼民反，终于在东汉灵帝光和七年（公元184年）正月，爆发了席卷中原的黄巾起义。汉灵帝命地主豪强领兵镇压，各州募兵守备。招兵告示张贴在涿县城门口。围观群众中，有一位红脸大汉，他叫关羽，是河东解县人，因在家乡杀了豪强，流落到涿县，以卖绿豆为生。人群中还有一人看了榜文，叹了一口气。一个黑脸大汉见了，向叹气的人说道：“大丈夫不为国家出力，反在此长叹，何为大丈夫？”那个叹气的青年名叫刘备，本是汉室宗亲，幼年丧父，跟母亲流落涿县，靠编席贩屦糊口。,河东,地点,对手,,刘备,历史人物,0.6022,{}
1,长叹，何为大丈夫？”那个叹气的青年名叫刘备，本是汉室宗亲，幼年丧父，跟母亲流落涿县，靠编席贩屦糊口。黑脸大汉名叫张飞，在本地开肉铺，专好结交天下豪杰。他常将卖不完的猪肉放在一口井里，盖上磨盘，谁能挪开此磨盘，可以任取井中肉。有人到张飞的肉铺来买肉，伙计却拿不出肉，关羽走过来将磨盘挪开，尽取井中猪肉分于众人。张飞得知，想和关羽分个高下，两人打得难解难分之际，被一旁的刘备拉开。在张飞家中，刘关张三人畅饮叙谈，他们志同道合，便在桃林中结拜为兄弟，立誓：“同心协力，救困扶危；上报国家，下安黎庶；不求同年同月同日生，只求同年同月同日死。,刘,历史人物,对手,,张,人物,0.4675,{}
4,尽除阉党。何后原是靠宦官势力立为皇后的，因而受张让等人左右，从中阻止。曹操建议：应先正君位，后讨贼。何进便在灵帝柩前扶立太子辩继承帝位，何太后临朝辅政，何进以大将军参录尚书事，控制朝政。董太后受张让等怂恿，也去临朝听政，封皇子协为陈留王，加封国舅董重为骠骑将军，并重用十常侍，打算和何皇后平分秋色。何进借故将董太后遣回原籍河间，又派人毒死太后；并矫诏召外兵进京，想尽诛宦官。不料十常侍预谋在先，假传何太后懿旨，召何进入宫。何进不听陈琳、曹操劝阻，单独进宫，在嘉德殿被张让杀死。袁绍、曹操带兵入宫，尽杀宦官，宫内火起，在混乱中，张让、段珪劫持少帝刘辩和陈留王刘协逃出皇宫。,何,人物,君主,,何进,人物,0.7029,{}
8,中小阁休息，他问曹操：“何故来迟？”曹操说因马太瘦弱。董卓便命吕布为曹操挑选一匹好马，吕布出阁而去。董卓因感困乏，倒身而卧，当他面朝里翻过身去时，曹操急忙拔出宝刀，刚要行刺，不料董卓从铜镜中看见曹操拔刀的身影，急忙回身问操，此时吕布已经牵马来到小阁，曹操急中生智，立即捧刀跪下说：“操近得七宝刀一口，献上恩相。”董卓接过宝刀，很是喜爱，便让操出阁去看马，曹操将马牵出相府，飞身上马，逃出洛阳。董卓察觉事有蹊跷，知是曹操行刺，便命各地画影图形，捉拿曹操。曹操欲回乡，途经中牟县，被县令陈宫认出。陈宫得知曹操要号召天下诸侯，兴兵共讨董卓，被他的壮志打动，便弃了官职，追随曹操。,操,历史人物,对手,,董卓,历史人物,0.9148,{}
13,跋扈，骄纵无比。一日在席间，又无故将司空张温斩首，满朝文武惊恐失色。司徒王允想除掉董卓，但苦无良策。他为国事担忧，难以入睡，独自来到花园，发现歌姬貂蝉在花园中对月长叹。当他得知貂蝉是为民忧愁时，便和她定下“连环计”：先将貂蝉许嫁吕布，再献与董卓，离间他们父子，促使吕布杀死董卓。吕布狩猎归来，在溪边和貂蝉相遇，他见貂蝉貌美，如醉如痴。王允便将吕布请到府中，答应将貂蝉送与吕布为妾。“早晚选一良辰，送到将军府上。”乘吕布去郿坞押送车仗的机会，王允又将貂蝉献与董卓。第七集：凤仪亭当董卓接走貂蝉后，吕布又恨又急。他恋念貂蝉，乘董卓上朝之机，入相府与貂蝉私会。,司徒王允,人物,对手,,吕布,人物,0.9800,{}
