sentence,relation,head,head_offset,tail,tail_offset
在张飞家中，刘关张三人畅饮叙谈，他们志同道合，便在桃林中结拜为兄弟,兄弟,刘备,64,关羽,66
在张飞家中，刘关张三人畅饮叙谈，他们志同道合，便在桃林中结拜为兄弟,兄弟,刘备,64,张飞,67
在张飞家中，刘关张三人畅饮叙谈，他们志同道合，便在桃林中结拜为兄弟,兄弟,关羽,66,张飞,67
为了除掉丁原，董卓的谋士李肃带着赤兔马和重金来到吕布营内，劝说吕布投靠董卓,君主,吕布,113,董卓,124
有勇无谋、见利忘义的吕布当夜杀了义父丁原，做了董卓的义子,君主,吕布,0,董卓,44
董卓得到吕布，如虎添翼，更加横行无忌,君主,吕布,10,董卓,6
曹操行刺董卓未成，逃回陈留，尽散家财，召募乡勇,对手,曹操,0,董卓,7
他联络袁绍，并向各州郡遍发讨董檄文，得到天下响应,盟友,曹操,12,袁绍,17
十八路诸侯为匡扶汉室，歃血为盟，公推祁乡侯、渤海太守袁绍为盟主，共同起兵讨伐董卓,盟友,袁绍,64,曹操,74
袁绍命其弟南阳太守袁术总督粮草,兄弟,袁绍,0,袁术,22
袁术怕孙坚夺了头功，便故意不发粮草，致使孙坚大败,对手,袁术,0,孙坚,15
关羽自告奋勇出战，因地位低下，遭到袁绍、袁术轻视,对手,关羽,0,袁绍,29
曹操赞赏关羽的勇气，命斟热酒一杯为关羽壮胆,盟友,曹操,0,关羽,12
张飞按捺不住，挺矛出战，与吕布酣战五十回合，不分胜负,对手,张飞,0,吕布,25
关羽见了，把马一拍，舞八十二斤青龙偃月刀，来夹攻吕布,对手,关羽,0,吕布,47
刘备举着双股剑，也来助战，兄弟三个围住吕布，四匹马就像走马灯一样厮杀在一起,对手,刘备,0,吕布,35
吕布终于抵挡不住，败回虎牢关,对手,刘备,0,吕布,0
司徒王允想除掉董卓，但苦无良策,对手,王允,3,董卓,15
先将貂蝉许嫁吕布，再献与董卓，离间他们父子，促使吕布杀死董卓,对手,吕布,54,董卓,58
吕布与貂蝉在凤仪亭相会时，貂蝉用言语激吕布对董卓不满,对手,吕布,0,董卓,39
董卓不见吕布，急回府，在凤仪亭，看到吕布正拥抱貂蝉，大怒，抓过吕布画戟刺去，吕布逃出相府,对手,董卓,0,吕布,16
王允趁势以言语相激，吕布决意杀董卓,对手,吕布,30,董卓,33
吕布持戟厉声：“有诏讨贼。”刺死董卓,对手,吕布,0,董卓,27
陶谦为保徐州，见刘备乃汉室宗亲，才德兼备，欲将徐州让与刘备,君主,刘备,46,陶谦,0
吕布在兖州被曹操打败，往徐州投奔刘备，屯驻小沛,君主,吕布,0,刘备,35
刘备无奈，只好向吕布求和，暂屯小沛,君主,刘备,0,吕布,26
袁术派大将纪灵率军攻打刘备，命人送二十万斛粟，约吕布夹攻,对手,袁术,0,刘备,19
刘备因兵微粮少，向吕布求援，吕布权衡利弊，怕袁术吞并刘备后，于己不利，乃起兵救刘备,盟友,刘备,0,吕布,26
吕布为两家和解，想出一计，约请刘备、纪灵赴宴,盟友,吕布,0,刘备,42
刘备很赞成，纪灵畏吕布之勇，只好答应,盟友,刘备,0,吕布,30
刘备求和，吕布不许，刘备只好乘夜突围，去投曹操,君主,刘备,0,曹操,44
正当曹操联合刘备准备共图徐州吕布之时，对手,曹操,9,吕布,37
刘备在徐州大败袁术,对手,刘备,0,袁术,16
袁术在淮南称帝，为报吕布反目悔婚之恨，大举七路兵马攻打徐州,对手,袁术,0,吕布,32
吕布用陈登之计，大败袁术,对手,吕布,0,袁术,22
其后曹操又率大军十七万，会合江东孙策、豫州刘备、徐州吕布三路大军征讨袁术,对手,曹操,12,袁术,71
刘备派孙乾去袁绍处再次求救,盟友,刘备,0,袁绍,21
谋士田丰认为此时许都空虚，正是灭曹以成大业的大好时机，力劝袁绍发兵，袁绍却只因所爱小子身患疥疮，无心用兵,君主,田丰,3,袁绍,40
此时曹操已大兵压境，张飞献计乘其兵困马乏，立足未稳之时，劫营破曹，刘备从之，哪知曹操早有防备，乘势夺了小沛，杀散刘备和张飞，并用重兵将下邳团团围住,对手,刘备,87,曹操,97
关羽在土山与曹操约三事后，一边思念刘备，一边亲自护送甘、糜二夫人，随曹操踏上回许都之路,君主,关羽,0,曹操,55
到了许昌，曹操对关羽格外厚待，三日一小宴，五日一大宴，还送美女、绫锦、金银器皿等，以买其心；而关羽却常怀去心，曹操深为焦虑,君主,关羽,117,曹操,13
关羽深感曹操厚意，但无论如何也难忘刘皇叔厚恩，只答应要立功以报丞相，然后方去,君主,关羽,0,曹操,6
曹操连连叹息不止，却深赞其事主不忘其本，真乃天下之义士！,君主,关羽,38,曹操,0
此时，刘备在冀州袁绍府言激袁绍兴兵伐曹，袁绍从其言,君主,刘备,12,袁绍,27
谋士田丰却认为此时曹兵正锐，不宜发兵，直言力谏袁绍，反被打入死牢,君主,田丰,3,袁绍,41
谋士沮授等见此，神情黯然,同僚,田丰,3,沮授,16
曹操闻袁绍起兵，也急起大军十五万前往迎战，袁军先锋大将颜良威武异常，在白马连斩宋宪、魏续二将，又败徐晃，其锐无人能挡，曹操心中忧闷，脸色不快,对手,曹操,0,袁绍,19
关羽不知刘备在袁绍处，为报曹操厚待之恩，连斩颜良、文丑二将,君主,关羽,0,曹操,40
袁绍盛怒，欲斩刘备，又被其巧言说服,君主,刘备,26,袁绍,0
不知内情的刘备致书责关羽割恩断义，云长方知兄之所在，恸声大哭，回书涕言前情，不顾曹操的盛情挽留和百般阻拦，挂印封金，要护送二位嫂嫂千里寻兄,兄弟,刘备,16,关羽,24
曹操无奈，又甚为其情所感，只好亲自于霸桥赠袍相送，遥望关羽策马消失在天地尽头，叹息不已,君主,关羽,46,曹操,0
船行渡口，孙乾赶来，告知刘备因恐被袁绍加害，已脱身往汝南会合刘辟去了,君主,刘备,30,袁绍,36
刘备从简雍之议，假说“前往荆州劝说刘表共同破曹”，方自袁绍处脱身，兄弟始得相见,君主,刘备,0,袁绍,79
刘、关、张三人奔到一起，面色庄重，眼含泪花，六臂环抱，对面而跪，恰似当年桃园情景,兄弟,刘备,0,关羽,4
刘、关、张三人奔到一起，面色庄重，眼含泪花，六臂环抱，对面而跪，恰似当年桃园情景,兄弟,刘备,0,张飞,7
刘、关、张三人奔到一起，面色庄重，眼含泪花，六臂环抱，对面而跪，恰似当年桃园情景,兄弟,关羽,4,张飞,7
孙策对吴太夫人说：“倘内事不决可问张昭，外事不决可问周瑜。”,同僚,张昭,61,周瑜,74
